x,y,type
Unnamed: 0,0.3136418946719341,random
humid,0.15571297866405867,random
humid90,0.15231806416125088,random
temp,0.16456702154156921,random
temp90,0.159378283728807,random
h10pix,0.1403683367751151,random
h10pix90,0.13714960749848507,random
trees,0.4468179457410967,random
trees90,0.46664676566691277,random
NoYes,0.13508118440404374,random
Xmin,0.49858813258452545,random
Xmax,0.4989633588098995,random
Ymin,0.35680744562222483,random
Ymax,0.3739589801300768,random
Unnamed: 0,0.2672456865787542,stratified
humid,0.16157365575832125,stratified
humid90,0.1593787779035385,stratified
temp,0.16712233095974774,stratified
temp90,0.16389915959609228,stratified
h10pix,0.13719255352730825,stratified
h10pix90,0.1342893735259379,stratified
trees,0.4380473662480069,stratified
trees90,0.45809949725681987,stratified
NoYes,0.11783210639577821,stratified
Xmin,0.4978460093191427,stratified
Xmax,0.4974311551473801,stratified
Ymin,0.3910695288207685,stratified
Ymax,0.40897279896240046,stratified
